발행인,신용보강기관종류1,신용보강기관명1,신용보강형태1,시공사
제이에스썸머제일차,금융기관,현대차증권,SPC 또는 유동화증권에 대한 신용보강,은일종합건설주식회사
트루전주제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,창성건설
트루항동제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
학산피에프제일차,금융기관,한국투자증권,유동화증권 매입보장,한신공영
기은센동대문제삼차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
기은센향남제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
기은센향남제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
더샵광양마동,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
디벨롭개포,금융기관,신영증권,SPC 또는 유동화증권에 대한 신용보강,(주)대우에스티
디지엠씨제일차,금융기관,교보증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
라이코스제일차,금융기관,교보증권,SPC 또는 유동화증권에 대한 신용보강,현대아산
마이에스해운대,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,디엘이앤씨 주식회사
메디골드제일차,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,미정
브라이트스타제사차,금융기관,교보증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
비욘드울산무거제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,주식회사 신태양건설
비케이낙산,금융기관,아이비케이투자증권,유동화증권 매입보장,태왕이앤씨
빅토리청당제일차,금융기관,비엔케이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
샤이닝스톤테크노,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,원건설
세타스토리제일차,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
알피과천제이차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
알피과천제이차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
알피과천제이차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
알피과천제이차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
알피과천제이차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
엠에스아이디제십이차,금융기관,유진투자증권,SPC 또는 유동화증권에 대한 신용보강,미정
엠제이엘제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
엠제이엘제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
오스피셔스제십칠차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,서해종합건설
와이비해운대,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
유에스엠지,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,더블유건설
유에스엠지,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,더블유건설
캐슈넛레드,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,해당없음
케이동천제일차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,서광종합개발
케이비황금제일차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,호반건설
키스모강릉제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,신세계건설
파이브제일차,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,태영건설
폴리제일차,금융기관,대신증권,유동화증권 매입보장,해당없음
한투대체제오차,금융기관,한국투자증권,유동화증권 매입보장,해당없음
골드스타대명제일차,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,지에스건설
뉴스타웨이브제일차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,현대건설
더블리치제일차,금융기관,교보증권,유동화증권 매입보장,해당없음
드림구삼논현제이차,금융기관,교보증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
랩스제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,(주)대림
로이케이세종,금융기관,비엔케이투자증권,SPC 또는 유동화증권에 대한 신용보강,우평
블랙홀제오차,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,대명이십일
블러썸제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
비욘드이목제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,대방건설
스위트에이치한남제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
엑싯제팔차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,중흥토건 (주)
와이비검단,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,롯데건설
와이에스디제이차,금융기관,대신증권,유동화증권 매입보장,해당없음
와이에이치영성,금융기관,대신증권,유동화증권 매입보장,해당없음
와이케이왕지제일차,금융기관,유안타증권,SPC 또는 유동화증권에 대한 신용보강,두산에너빌리티(주)
지아이비성산,금융기관,신한은행,SPC 또는 유동화증권에 대한 신용보강,까뮤이앤씨
하이스톰메이커제십육차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
히트하우스제일차,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,해당없음
강남클라우드,금융기관,현대차증권,SPC 또는 유동화증권에 대한 신용보강,미정
강남클라우드,금융기관,현대차증권,SPC 또는 유동화증권에 대한 신용보강,미정
와이알디제일차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
케이비마포제이차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,신세계건설
기은센씨와이제일차,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
드래곤필드제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,지에스건설
디벨롭단구,금융기관,신영증권,SPC 또는 유동화증권에 대한 신용보강,지에스건설
디오동인,금융기관,대신증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
리모네스사보,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
