플랜번호,발행인,증권종류,종목코드,종목명,발행일,만기일,옵션,모집구분,기초자산,통화,환율,발행금액,원화환산발행금액,표면이율,이자유형,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,시/도,시/구,동/읍,상세주소,브릿지론/본PF,신용보강기관종류1,신용보강기관종류2,신용보강기관명1,신용보강기관명2,신용보강형태1,신용보강형태2,신용보강기관 신용등급,사업용도,사업용도 세부종목,시공사,시공사구간,시공사 신용등급,트렌치,전체 트렌치 수,전체 대출약정 규모(억 원),분양률(%)
63833,뉴스타드림제이차,AB사채,KR6472521DB6,뉴스타드림제이차 1(사모/콜),20231115,20241115,CALL,사모,PF대출채권,KRW,,"24,000,000,000 ","24,000,000,000 ",10,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63804,에스엘티안산제이차,AB사채,KR6472321DB1,에스엘티안산제이차1(사모/콜/강제),20231113,20250513,CALL,사모,PF대출채권,KRW,,"100,000,000,000 ","100,000,000,000 ",9,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63813,에프엔안산제일차,AB사채,KR6472091DB0,에프엔안산제일차 1(사모/콜/강제),20231113,20250513,CALL,사모,PF대출채권,KRW,,"30,000,000,000 ","30,000,000,000 ",7.8,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63324,하이메타버스서퍼제이십차,AB사채,KR6445251DB4,하이메타버스서퍼제이십차4(사모/콜),20231101,20240728,CALL,사모,PF대출채권,KRW,,"500,000,000 ","500,000,000 ",7.5,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63624,마크엑스제일차,AB사채,KR6471101DA0,마크엑스제일차1(사모),20231030,20241028,옵션해당없음,사모,PF대출채권,KRW,,"1,600,000,000 ","1,600,000,000 ",20.463,고정-할인,,,,,,,,,,,,,,,,,,,,,,,,,
63324,하이메타버스서퍼제이십차,AB사채,KR6445252DA4,하이메타버스서퍼제이십차3(사모/콜),20231030,20240728,CALL,사모,PF대출채권,KRW,,"400,000,000 ","400,000,000 ",7.5,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63637,뉴스타이문1제이차유동화전문,ABS,KR6466901DA0,뉴스타이문1제이차유동화전문1(강제),20231027,20250227,옵션해당없음,공모,PF대출채권,KRW,,"175,000,000,000 ","175,000,000,000 ",4.94,고정-이표,AA+,AA+,,,,,,,,,,,,,,,,,,,,,,,
63574,드림비엔경산,AB사채,KR6447561DA6,드림비엔경산3(사모/콜),20231020,20241118,CALL,사모,PF대출채권,KRW,,"52,600,000,000 ","52,600,000,000 ",6.5,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63556,비욘드스카이제이차,AB사채,KR6470081DA5,비욘드스카이제이차1(사모/강제),20231020,20240430,옵션해당없음,사모,PF대출채권,KRW,,"20,000,000,000 ","20,000,000,000 ",5.2,고정-이표,,AA-,AA-,,,,,,,,,,,,,,,,,,,,,,
63324,하이메타버스서퍼제이십차,AB사채,KR6445251DA6,하이메타버스서퍼제이십차2(사모/콜),20231020,20240728,CALL,사모,PF대출채권,KRW,,"500,000,000 ","500,000,000 ",7.5,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63491,뉴딜배방신도제일차,AB사채,KR6412521DA1,뉴딜배방신도제일차2(사모/콜),20231013,20240930,CALL,사모,PF대출채권,KRW,,"5,000,000,000 ","5,000,000,000 ",8.3,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63472,에이치케이논현제일차,AB사채,KR6469571DA8,에이치케이논현제일차 1(사모/콜),20231012,20240203,CALL,사모,PF대출채권,KRW,,"9,000,000,000 ","9,000,000,000 ",12,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63415,비케이한남원,AB사채,KR6459181DA8,비케이한남원 3(사모/콜),20231005,20240617,CALL,사모,PF대출채권,KRW,,"10,000,000,000 ","10,000,000,000 ",7.5,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63390,비케이서현제일차,AB사채,KR6445941DA2,비케이서현제일차2(사모/콜),20231004,20240330,CALL,사모,PF대출채권,KRW,,"7,000,000,000 ","7,000,000,000 ",10,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
57498,알파온수제오차,AB사채,KR6429451DA2,알파온수제오차2(사모/콜),20231004,20240930,CALL,사모,PF대출채권,KRW,,"15,000,000,000 ","15,000,000,000 ",9,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63295,디앙스트제일차,AB사채,KR6402141D99,디앙스트제일차 2(사모/콜),20230927,20240927,CALL,사모,PF대출채권,KRW,,"5,000,000,000 ","5,000,000,000 ",8,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63322,마일스톤클래식,AB사채,KR6453391D99,마일스톤클래식1(사모/콜),20230927,20260928,CALL,사모,PF대출채권,KRW,,"11,000,000,000 ","11,000,000,000 ",6.7,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63375,에스에프부천제이차,AB사채,KR6466161D99,에스에프부천제이차2(사모),20230927,20240831,옵션해당없음,사모,PF대출채권,KRW,,"10,000,000,000 ","10,000,000,000 ",8.5,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63270,뉴스타용답유동화전문,ABS,KR6464961D96,뉴스타용답유동화전문1(콜/강제),20230926,20270131,CALL,공모,PF대출채권,KRW,,"170,000,000,000 ","170,000,000,000 ",4.8,고정-이표,,AAA,AAA,,,,,,,,,,,,,,,,,,,,,,
63324,하이메타버스서퍼제이십차,AB사채,KR6445251D94,하이메타버스서퍼제이십차 1(사모/콜),20230925,20240728,CALL,사모,PF대출채권,KRW,,"900,000,000 ","900,000,000 ",7.5,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63283,비욘드성성제이차,AB사채,KR6393191D99,비욘드성성제이차3-1(사모/콜),20230922,20240430,CALL,사모,PF대출채권,KRW,,"1,000,000,000 ","1,000,000,000 ",8,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63283,비욘드성성제이차,AB사채,KR6393192D98,비욘드성성제이차3-2(사모/콜),20230922,20240430,CALL,사모,PF대출채권,KRW,,"1,000,000,000 ","1,000,000,000 ",9.3,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63244,알에이해운대제오차,AB사채,KR6443321D95,알에이해운대제오차1-1(사모),20230922,20240223,옵션해당없음,사모,PF대출채권,KRW,,"20,000,000,000 ","20,000,000,000 ",9.34,고정-할인,,,,,,,,,,,,,,,,,,,,,,,,,
63244,알에이해운대제오차,AB사채,KR6443322D94,알에이해운대제오차1-2(사모/강제),20230922,20240223,옵션해당없음,사모,PF대출채권,KRW,,"20,000,000,000 ","20,000,000,000 ",8.5,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62618,리멤버제일차,AB사채,KR6463831D96,리멤버제일차 1(사모/콜),20230921,20240719,CALL,사모,PF대출채권,KRW,,"145,000,000,000 ","145,000,000,000 ",7,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62619,민스크제일차,AB사채,KR6463851D91,민스크제일차1(사모/콜),20230921,20240719,CALL,사모,PF대출채권,KRW,,"30,000,000,000 ","30,000,000,000 ",11.3,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63157,챔피언안산유동화제일차,AB사채,KR6463012D97,챔피언안산유동화제일차 2(사모/콜/강제),20230921,20241011,CALL,사모,PF대출채권,KRW,,"4,000,000,000 ","4,000,000,000 ",10,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63194,계산베가제일차,AB사채,KR6467041D93,계산베가제일차2(사모/콜),20230920,20240920,CALL,사모,PF대출채권,KRW,,"20,000,000,000 ","20,000,000,000 ",5,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
63242,디더블유양주제삼차,AB사채,KR6468111D96,디더블유양주제삼차 1(사모/콜/강제),20230920,20240921,CALL,사모,PF대출채권,KRW,,"20,000,000,000 ","20,000,000,000 ",6,고정-이표,A,,A,,,,,,,,,,,,,,,,,,,,,,
63243,디더블유양주제이차,AB사채,KR6468101D98,디더블유양주제이차 1(사모/콜/강제),20230920,20240921,CALL,사모,PF대출채권,KRW,,"20,000,000,000 ","20,000,000,000 ",7.5,고정-이표,A,,A,,,,,,,,,,,,,,,,,,,,,,
63197,글로리첨단제일차,AB사채,KR6462211D98,글로리첨단제일차 1-1(사모/콜),20230918,20270320,CALL,사모,PF대출채권,KRW,,"9,900,000,000 ","9,900,000,000 ",8.5,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
