기업이름,등급,보고서상기업이름(기업이름과 일치해야함)
테크로스워터앤에너지,,
장학건설,,
유호산업개발,,
삼정,,삼정신역(주)
운강건설,,
지평건설,,
태한건설,,
샘코건설,,
동남종합건설,,동남종합건설(주)
남해종합건설,,
신화건설,,신화건설(주)
태조건설,,
동화건설,,
에스원건설,,
아이엠지건설,,
지평토건,,
한국종합기술,,(주)한국종합기술개발공사
오렌지엔지니어링,,
해동건설,,
정인건설,,
한창종합건설,,
남광건설,,
지원건설,,
성전건설,,
관보토건,,
경우크린텍,,
키움건설,,
우미토건,,우미토건
재성종합건설,,
남명건설,,
하우텍씨엔알건설,,
삼양건설산업,,
구국토건,,
보훈종합건설,,
성지건설,,성지건설(주)
희상건설,,
고운시티아이,,
한백종합건설,,
정우개발,,
에쓰와이이앤씨,,
예서건설,,
중앙종합건설,,(주)중앙건설
탑인프라,,
대명이십일,,
브이산업,,
은산이앤씨,,
풍창건설,,
금도건설,,
